index,Release_Week,Region,Week,Sites_Reporting,ILI_0_4_years,ILI_5_24_years,ILI_25_49_years,ILI_50_64_years,ILI_65_plus_years,Total_ILI,Total_Patient_Visits,Perc_Unweighted_ILI,Perc_Weighted_ILI
0,1441,National,201440,1638,2672,3687,1852,629,441,9281,724168,1.28,1.28
1,1441,National,201441,1431,2543,3469,1812,664,409,8897,593362,1.5,1.31
2,1441,Region 1,201440,108,86,155,37,10,7,295,38652,0.76,1.11
3,1441,Region 1,201441,93,67,93,20,16,11,207,32829,0.63,0.67
4,1441,Region 2,201440,219,849,731,347,149,107,2183,120164,1.82,2.11
5,1441,Region 2,201441,201,810,637,318,133,103,2001,112656,1.78,2.03
6,1441,Region 3,201440,207,339,573,429,111,82,1534,112457,1.36,1.32
7,1441,Region 3,201441,185,343,551,431,119,62,1506,94910,1.59,1.2
8,1441,Region 4,201440,245,287,464,166,73,36,1026,91552,1.12,0.93
9,1441,Region 4,201441,215,252,496,180,56,50,1034,79398,1.3,1.01
10,1441,Region 5,201440,223,334,369,172,74,57,1006,92602,1.09,0.76
11,1441,Region 5,201441,198,302,370,151,75,31,929,79885,1.16,0.78
12,1441,Region 6,201440,211,421,642,439,113,75,1690,91865,1.84,1.91
13,1441,Region 6,201441,218,488,718,447,172,93,1918,96615,1.99,2.01
14,1441,Region 7,201440,71,53,111,44,16,14,238,64403,0.37,0.74
15,1441,Region 7,201441,51,21,50,39,11,6,127,12605,1.01,0.94
16,1441,Region 8,201440,110,69,146,48,17,8,288,35402,0.81,0.63
17,1441,Region 8,201441,97,53,135,83,19,9,299,30540,0.98,0.68
18,1441,Region 9,201440,195,215,467,163,65,54,964,66236,1.46,1.75
19,1441,Region 9,201441,129,189,392,131,53,43,808,44705,1.81,1.9
20,1441,Region 10,201440,49,19,29,7,1,1,57,10835,0.53,0.46
21,1441,Region 10,201441,44,18,27,12,10,1,68,9219,0.74,0.73
22,1442,National,201440,1745,2719,3755,1890,641,447,9452,750180,1.26,1.19
23,1442,National,201441,1667,2796,3908,1971,734,444,9853,709662,1.39,1.29
24,1442,National,201442,1519,2942,3898,2037,737,439,10053,664215,1.51,1.41
25,1442,Region 1,201440,127,88,167,38,11,7,311,43117,0.72,0.99
26,1442,Region 1,201441,126,100,179,33,21,12,345,41808,0.83,1.03
27,1442,Region 1,201442,117,74,172,44,16,7,313,35336,0.89,1.08
28,1442,Region 2,201440,224,856,744,349,149,107,2205,123764,1.78,1.89
29,1442,Region 2,201441,209,833,661,330,146,106,2076,117030,1.77,1.93
30,1442,Region 2,201442,196,939,771,410,172,99,2391,113296,2.11,2.77
31,1442,Region 3,201440,222,341,580,430,111,82,1544,122248,1.26,1.08
32,1442,Region 3,201441,212,353,579,442,123,64,1561,104118,1.5,1.13
33,1442,Region 3,201442,193,361,625,418,138,75,1617,106267,1.52,1.09
34,1442,Region 4,201440,264,307,482,179,75,37,1080,100464,1.08,0.89
35,1442,Region 4,201441,253,311,602,229,67,56,1265,94374,1.34,1.1
36,1442,Region 4,201442,223,226,454,192,55,26,953,86018,1.11,1.02
37,1442,Region 5,201440,245,345,384,173,74,60,1036,100247,1.03,0.72
38,1442,Region 5,201441,240,315,401,159,85,37,997,92737,1.08,0.76
39,1442,Region 5,201442,211,316,360,132,69,43,920,81922,1.12,0.8
40,1442,Region 6,201440,221,426,658,457,117,78,1736,95798,1.81,1.82
41,1442,Region 6,201441,228,505,746,480,177,97,2005,101574,1.97,1.94
42,1442,Region 6,201442,219,682,807,546,177,98,2310,97453,2.37,2.1
43,1442,Region 7,201440,73,47,96,42,15,13,213,48804,0.44,0.72
44,1442,Region 7,201441,68,51,121,52,17,10,251,46656,0.54,0.95
45,1442,Region 7,201442,57,46,116,63,20,11,256,45798,0.56,1.21
46,1442,Region 8,201440,113,71,147,49,19,8,294,36191,0.81,0.63
47,1442,Region 8,201441,109,56,141,85,23,12,317,35949,0.88,0.66
48,1442,Region 8,201442,102,56,159,76,18,10,319,34756,0.92,0.67
49,1442,Region 9,201440,207,216,467,166,69,54,972,68774,1.41,1.7
50,1442,Region 9,201441,175,248,446,146,65,47,952,65065,1.46,1.7
51,1442,Region 9,201442,147,212,394,148,63,68,885,51645,1.71,1.81
52,1442,Region 10,201440,49,22,30,7,1,1,61,10773,0.57,0.48
53,1442,Region 10,201441,47,24,32,15,10,3,84,10351,0.81,0.74
54,1442,Region 10,201442,54,30,40,8,9,2,89,11724,0.76,0.61
55,1443,National,201440,1797,2788,3846,1930,666,497,9727,772869,1.26,1.2
56,1443,National,201441,1786,2913,4174,2036,771,501,10395,749260,1.39,1.33
57,1443,National,201442,1756,3230,4390,2170,808,500,11098,745092,1.49,1.43
58,1443,National,201443,1546,2876,4033,2082,706,409,10106,686654,1.47,1.38
59,1443,Region 1,201440,134,100,181,44,13,9,347,46306,0.75,0.98
60,1443,Region 1,201441,136,108,199,36,24,17,384,45340,0.85,1.05
61,1443,Region 1,201442,126,81,183,50,19,8,341,38341,0.89,1.09
62,1443,Region 1,201443,112,75,116,50,22,34,297,38422,0.77,0.93
63,1443,Region 2,201440,227,861,748,350,150,107,2216,129480,1.71,1.87
64,1443,Region 2,201441,213,834,668,332,146,106,2086,122979,1.7,1.89
65,1443,Region 2,201442,222,979,809,411,173,99,2471,122186,2.02,2.74
66,1443,Region 2,201443,214,773,795,343,120,65,2096,117697,1.78,1.92
67,1443,Region 3,201440,228,342,581,430,111,82,1546,124011,1.25,1.06
68,1443,Region 3,201441,221,369,619,442,124,65,1619,106689,1.52,1.31
69,1443,Region 3,201442,208,375,676,419,139,76,1685,110361,1.53,1.24
70,1443,Region 3,201443,194,399,600,423,140,72,1634,108616,1.5,1.16
71,1443,Region 4,201440,272,314,490,181,77,44,1106,102894,1.07,0.87
72,1443,Region 4,201441,271,333,707,234,70,61,1405,100704,1.4,1.18
73,1443,Region 4,201442,262,303,639,226,77,42,1287,100228,1.28,1.18
74,1443,Region 4,201443,218,296,568,228,95,38,1225,90422,1.35,1.33
75,1443,Region 5,201440,251,352,395,178,77,64,1066,100807,1.06,0.75
76,1443,Region 5,201441,257,332,425,174,98,45,1074,99729,1.08,0.79
77,1443,Region 5,201442,250,387,452,178,93,58,1168,98109,1.19,0.87
78,1443,Region 5,201443,219,336,386,168,76,62,1028,86093,1.19,0.87
79,1443,Region 6,201440,227,453,693,469,117,78,1810,97431,1.86,1.9
80,1443,Region 6,201441,235,547,789,498,177,99,2110,103482,2.04,2.06
81,1443,Region 6,201442,230,722,858,562,178,98,2418,101119,2.39,2.16
82,1443,Region 6,201443,224,615,913,560,162,84,2334,98621,2.37,2.21
83,1443,Region 7,201440,74,47,96,42,15,13,213,48804,0.44,0.72
84,1443,Region 7,201441,74,54,122,54,17,11,258,48753,0.53,0.87
85,1443,Region 7,201442,69,52,123,70,23,13,281,50087,0.56,1.0
86,1443,Region 7,201443,62,49,111,47,20,5,232,47398,0.49,0.83
87,1443,Region 8,201440,119,73,156,50,20,8,307,37866,0.81,0.63
88,1443,Region 8,201441,115,57,147,88,24,12,328,37772,0.87,0.66
89,1443,Region 8,201442,115,63,180,81,19,10,353,39428,0.9,0.67
90,1443,Region 8,201443,90,59,152,85,17,9,322,27873,1.16,0.79
91,1443,Region 9,201440,212,224,476,179,85,91,1055,74402,1.42,1.71
92,1443,Region 9,201441,212,255,466,163,81,82,1047,73138,1.43,1.68
93,1443,Region 9,201442,211,234,427,163,76,94,994,72677,1.37,1.6
94,1443,Region 9,201443,165,236,358,160,49,36,839,60656,1.38,1.64
95,1443,Region 10,201440,53,22,30,7,1,1,61,10868,0.56,0.47
96,1443,Region 10,201441,52,24,32,15,10,3,84,10674,0.79,0.73
97,1443,Region 10,201442,63,34,43,10,11,2,100,12556,0.8,0.64
98,1443,Region 10,201443,48,38,34,18,5,4,99,10856,0.91,0.81
99,1444,National,201440,1834,2838,3906,1981,675,507,9907,787200,1.26,1.2
100,1444,National,201441,1842,2972,4265,2064,792,514,10607,770992,1.38,1.32
